Designator,Mid X,Mid Y,Rotation,Layer
C1,133.3511,-112.2636,180.0,top
C10,139.2511,-145.7536,270.0,bottom
C11,144.6511,-145.7536,270.0,bottom
C12,156.0511,-144.9536,270.0,bottom
C13,156.0511,-141.5536,270.0,bottom
C14,165.3511,-141.5536,90.0,bottom
C15,140.9511,-140.8536,180.0,bottom
C16,140.2011,-138.1736,90.0,bottom
C17,155.5511,-135.6536,270.0,bottom
C18,159.1511,-135.6536,90.0,bottom
C19,133.2511,-134.7536,90.0,bottom
C2,163.3511,-93.1536,0.0,top
C20,138.3511,-134.7536,270.0,bottom
C21,148.1511,-112.7536,270.0,bottom
C22,158.0511,-110.5536,90.0,bottom
C23,132.7511,-109.4536,90.0,bottom
C24,150.7511,-101.8536,0.0,bottom
C25,148.1511,-100.4536,270.0,bottom
C26,159.5511,-96.2536,90.0,bottom
C27,133.5511,-95.4536,90.0,bottom
C28,156.1511,-78.5536,270.0,bottom
C29,148.5511,-73.0536,90.0,bottom
C3,133.6511,-92.8536,180.0,top
C30,155.3511,-58.9536,180.0,bottom
C31,155.3511,-55.1536,0.0,bottom
C4,136.9011,-82.9236,180.0,top
C5,148.2511,-79.4536,0.0,top
C6,163.4511,-76.1536,0.0,top
C7,136.8711,-75.2136,0.0,top
C8,143.2511,-151.9536,90.0,bottom
C9,153.7511,-151.9536,90.0,bottom
CV1,148.5011,-138.4186,180.0,top
CV2,161.5511,-138.4186,180.0,top
D1,136.0911,-88.0636,180.0,top
D2,136.1911,-70.1436,0.0,top
D3,146.1111,-134.9136,270.0,bottom
D4,153.3711,-73.1136,270.0,bottom
D5,155.5511,-73.0936,90.0,bottom
D6,155.4111,-64.9736,180.0,bottom
FM_1,148.5011,-124.77975,180.0,top
FM_2,161.5511,-124.77975,180.0,top
FREQ0,148.5011,-93.8385,180.0,top
IC1,148.8511,-151.7536,90.0,bottom
IC2,148.8511,-140.6536,90.0,bottom
IC3,148.1511,-106.5536,0.0,bottom
IC4,161.5111,-104.0436,0.0,bottom
IC5,135.4411,-102.1536,0.0,bottom
IC6,161.5411,-84.5536,0.0,bottom
IC7,148.5011,-78.8536,270.0,bottom
IC8,148.5511,-56.9536,270.0,bottom
IN1,135.4511,-151.2686,180.0,top
IN2,148.5011,-151.2686,180.0,top
LED1,148.5011,-70.1536,0.0,top
LEVEL_1,135.4511,-124.77975,180.0,top
OUT0,161.5511,-151.2686,180.0,top
P1,131.0411,-81.5236,90.0,top
P2,130.8711,-74.0436,90.0,top
PCB1,128.3511,-158.2536,0.0,top
POWER!0,136.3311,-79.1436,270.0,bottom
Q1,154.6511,-131.5536,180.0,bottom
Q2,141.9411,-127.6436,180.0,bottom
Q3,155.2211,-126.6036,0.0,bottom
Q4,143.4811,-101.1236,180.0,bottom
Q5,150.4811,-86.3636,180.0,bottom
Q6,163.5811,-74.4836,180.0,bottom
R1,139.7511,-151.9536,90.0,bottom
R10,158.3511,-141.5536,270.0,bottom
R11,142.0511,-138.1536,270.0,bottom
R12,164.7511,-136.5536,270.0,bottom
R13,151.9511,-135.6536,270.0,bottom
R14,153.6511,-135.6536,90.0,bottom
R15,157.2511,-135.6536,90.0,bottom
R16,131.4511,-134.7536,90.0,bottom
R17,140.1511,-134.7536,90.0,bottom
R18,142.0511,-134.7536,270.0,bottom
R19,143.8511,-134.7536,90.0,bottom
R2,157.1011,-151.9536,270.0,bottom
R20,163.6711,-132.4336,270.0,bottom
R21,165.4811,-132.4336,270.0,bottom
R22,157.5511,-131.5536,90.0,bottom
R23,142.8511,-131.1536,90.0,bottom
R24,161.2511,-130.6536,0.0,bottom
R25,158.9511,-125.3536,90.0,bottom
R26,160.7511,-125.3536,90.0,bottom
R27,162.6511,-125.3536,270.0,bottom
R28,132.4511,-125.2536,270.0,bottom
R29,134.3511,-125.2536,270.0,bottom
R3,137.3511,-145.7536,90.0,bottom
R30,136.2511,-125.2536,270.0,bottom
R31,138.1511,-125.2536,90.0,bottom
R32,151.0511,-125.2536,270.0,bottom
R33,155.2511,-118.1536,90.0,bottom
R34,151.7511,-114.9536,0.0,bottom
R35,139.2511,-113.2536,270.0,bottom
R36,146.2511,-112.7536,90.0,bottom
R37,164.1311,-110.5636,90.0,bottom
R38,160.1511,-110.5536,270.0,bottom
R39,162.2511,-110.5536,90.0,bottom
R4,141.0511,-145.7536,90.0,bottom
R40,166.0511,-110.5536,270.0,bottom
R41,134.9511,-109.4536,90.0,bottom
R42,137.1511,-109.4536,90.0,bottom
R43,139.3511,-109.4536,270.0,bottom
R44,141.5511,-109.4536,270.0,bottom
R45,152.0511,-108.5536,270.0,bottom
R46,153.9511,-108.5536,90.0,bottom
R47,153.8511,-101.8536,180.0,bottom
R48,150.7511,-99.9536,0.0,bottom
R49,153.8511,-99.9536,0.0,bottom
R5,142.8511,-145.7536,90.0,bottom
R50,162.1511,-96.2536,270.0,bottom
R51,165.9511,-96.2536,90.0,bottom
R52,136.0511,-95.4536,270.0,bottom
R53,138.3511,-95.4536,270.0,bottom
R54,140.6511,-95.4536,90.0,bottom
R55,142.9511,-95.4536,270.0,bottom
R56,166.8711,-90.4036,270.0,bottom
R57,159.0111,-90.3936,270.0,bottom
R58,162.1811,-90.3936,90.0,bottom
R59,164.3911,-90.3936,270.0,bottom
R6,146.4511,-145.7536,90.0,bottom
R60,143.6511,-84.4536,90.0,bottom
R61,145.4511,-84.4536,270.0,bottom
R62,147.2511,-84.4536,270.0,bottom
R63,158.2011,-78.5536,270.0,bottom
R64,160.7711,-78.5536,90.0,bottom
R65,163.5511,-78.5536,270.0,bottom
R66,166.1511,-78.5536,270.0,bottom
R67,158.3511,-73.6536,90.0,bottom
R68,160.2511,-73.6536,90.0,bottom
R69,146.4511,-73.0536,90.0,bottom
R7,153.7511,-144.9536,270.0,bottom
R70,150.7511,-73.0536,270.0,bottom
R71,153.3511,-69.0536,90.0,bottom
R72,155.4511,-69.0536,90.0,bottom
R73,139.4511,-63.1536,270.0,bottom
R74,155.3511,-62.6536,180.0,bottom
R75,155.3511,-60.8536,180.0,bottom
R76,155.3511,-57.0536,0.0,bottom
R77,155.3511,-53.2536,180.0,bottom
R8,158.3511,-144.9536,90.0,bottom
R9,153.7511,-141.5536,270.0,bottom
RES0,136.9511,-62.5885,180.0,top
RES_CV0,135.4511,-138.4186,180.0,top
SW1,161.5511,-59.2536,90.0,top
TR1,148.8511,-118.7286,180.0,bottom
TR2,135.6511,-118.6286,180.0,bottom
U1,162.0011,-139.3036,270.0,bottom
U2,135.4511,-139.2536,90.0,bottom
U3,161.5511,-68.9536,0.0,bottom
U4,147.8011,-64.7536,0.0,bottom
